Station.City,Station.Code,Station.State,Station.USPS
Anchorage,ANC,Alaska,AK
Annette,ANN,Alaska,AK
Bethel,BET,Alaska,AK
Bettles,BTT,Alaska,AK
Cold Bay,CDB,Alaska,AK
Cordova,CDV,Alaska,AK
Delta Junction/Ft Greely,BIG,Alaska,AK
Fairbanks,FAI,Alaska,AK
Gulkana,GKN,Alaska,AK
Gustavus,GST,Alaska,AK
Homer,HOM,Alaska,AK
Iliamna,ILI,Alaska,AK
Juneau,JNU,Alaska,AK
Kenai,ENA,Alaska,AK
Ketchikan,KTN,Alaska,AK
King Salmon,AKN,Alaska,AK
Kodiak,ADQ,Alaska,AK
Kotzebue,OTZ,Alaska,AK
Mc Grath,MCG,Alaska,AK
Nome,OME,Alaska,AK
Northway,ORT,Alaska,AK
Palmer,PAQ,Alaska,AK
Petersburg,PSG,Alaska,AK
Puntilla Lake,PTI,Alaska,AK
Shemya,SYA,Alaska,AK
Sitka,SIT,Alaska,AK
Skagway,SGY,Alaska,AK
St Paul Island,SNP,Alaska,AK
Talkeetna,TKA,Alaska,AK
Tanana,TAL,Alaska,AK
Unalakleet,UNK,Alaska,AK
Utqiagvik (Barrow),BRW,Alaska,AK
Wrangell,WRG,Alaska,AK
Yakutat,YAK,Alaska,AK
Birmingham,BHM,Alabama,AL
Huntsville,HSV,Alabama,AL
Mobile,MOB,Alabama,AL
Montgomery,MGM,Alabama,AL
Abilene,ABI,Texas,TX
Amarillo,AMA,Texas,TX
Austin/Bergstrom,AUS,Texas,TX
Austin/City,ATT,Texas,TX
Beaumont/Port Arthur,BPT,Texas,TX
Bristol/Jhnsn Cty/Kngsprt,TRI,Tennessee,TN
Brownsville,BRO,Texas,TX
Chattanooga,CHA,Tennessee,TN
Childress,CDS,Texas,TX
Clarksville,CKV,Tennessee,TN
College Station,CLL,Texas,TX
Corpus Christi,CRP,Texas,TX
Crossville,CSV,Tennessee,TN
Dalhart,DHT,Texas,TX
Dallas,DAL,Texas,TX
Dallas-Fort Worth,DFW,Texas,TX
Del Rio,DRT,Texas,TX
El Paso,ELP,Texas,TX
Fort Worth,FTW,Texas,TX
Galveston,GLS,Texas,TX
Houston,HOU,Texas,TX
Knoxville,TYS,Tennessee,TN
Lubbock,LBB,Texas,TX
Memphis,MEM,Tennessee,TN
Midland,MAF,Texas,TX
Nashville,BNA,Tennessee,TN
Oak Ridge,OQT,Tennessee,TN
Salt Lake City,SLC,Utah,UT
San Angelo,SJT,Texas,TX
San Antonio,SAT,Texas,TX
Victoria,VCT,Texas,TX
Waco,ACT,Texas,TX
Wichita Falls,SPS,Texas,TX
